id_atlhete_modality,Medal,id
3211,Silver,557
3221,Bronze,558
3223,Gold,559
3226,Gold,560
3231,Bronze,561
3237,Silver,562
3240,Gold,563
3248,Silver,564
3255,Bronze,565
3260,Bronze,566
3268,Gold,567
3270,Gold,568
3271,Silver,569
3272,Gold,570
3278,Bronze,571
3295,Gold,572
3298,Bronze,573
3299,Silver,574
3344,Gold,575
3345,Bronze,576
3354,Gold,577
3372,Silver,578
3394,Silver,579
3395,Silver,580
3396,Silver,581
3397,Bronze,582
3399,Gold,583
3400,Gold,584
3407,Silver,585
3425,Bronze,586
3463,Gold,587
3464,Silver,588
3474,Bronze,589
3495,Silver,590
3515,Silver,591
3521,Silver,592
3522,Silver,593
3523,Bronze,594
3524,Silver,595
3525,Gold,596
3526,Gold,597
3527,Silver,598
3528,Gold,599
3530,Silver,600
3532,Silver,601
3533,Silver,602
3553,Bronze,603
3559,Silver,604
3587,Bronze,605
3588,Bronze,606
3601,Bronze,607
3616,Bronze,608
3626,Silver,609
3628,Bronze,610
3630,Bronze,611
3638,Silver,612
3643,Bronze,613
3667,Bronze,614
3668,Gold,615
3670,Bronze,616
3678,Bronze,617
3680,Bronze,618
3682,Silver,619
3689,Silver,620
3695,Silver,621
3697,Gold,622
3699,Silver,623
3705,Gold,624
3709,Silver,625
3712,Bronze,626
3719,Bronze,627
3721,Gold,628
3722,Gold,629
3723,Silver,630
3724,Silver,631
3726,Silver,632
3742,Gold,633
3743,Bronze,634
3744,Bronze,635
3746,Bronze,636
3747,Bronze,637
3750,Bronze,638
3758,Silver,639
3759,Silver,640
3760,Bronze,641
3761,Gold,642
3762,Bronze,643
3774,Bronze,644
3775,Bronze,645
3776,Silver,646
3778,Gold,647
3780,Gold,648
3784,Silver,649
3802,Bronze,650
3807,Bronze,651
3810,Gold,652
3814,Silver,653
3815,Silver,654
3818,Bronze,655
3820,Gold,656
3821,Gold,657
3837,Silver,658
3838,Bronze,659
3842,Bronze,660
3844,Silver,661
3848,Bronze,662
3849,Bronze,663
3850,Silver,664
3856,Silver,665
3857,Gold,666
3861,Bronze,667
3866,Silver,668
3894,Silver,669
3921,Bronze,670
3922,Bronze,671
3925,Bronze,672
3926,Gold,673
3945,Bronze,674
3949,Bronze,675
3951,Gold,676
3953,Silver,677
3954,Bronze,678
3955,Gold,679
3956,Gold,680
3957,Gold,681
3961,Bronze,682
3967,Silver,683
3971,Bronze,684
3972,Silver,685
3978,Silver,686
3979,Bronze,687
4001,Bronze,688
4017,Bronze,689
4018,Gold,690
4026,Bronze,691
4028,Bronze,692
4031,Silver,693
4035,Silver,694
4061,Silver,695
4062,Silver,696
4065,Silver,697
4071,Bronze,698
4087,Silver,699
4105,Gold,700
4134,Silver,701
4163,Gold,702
4164,Silver,703
4167,Bronze,704
4180,Bronze,705
4188,Silver,706
4194,Bronze,707
4199,Silver,708
4201,Bronze,709
4202,Bronze,710
4209,Bronze,711
4212,Gold,712
4213,Gold,713
4226,Bronze,714
4230,Silver,715
4232,Gold,716
4244,Gold,717
4246,Silver,718
4255,Gold,719
4260,Bronze,720
4261,Silver,721
4274,Silver,722
4290,Silver,723
4301,Silver,724
4304,Silver,725
4309,Silver,726
4316,Bronze,727
4319,Bronze,728
4320,Bronze,729
4324,Silver,730
4331,Gold,731
4345,Bronze,732
4353,Gold,733
4354,Bronze,734
4356,Gold,735
4358,Silver,736
4364,Bronze,737
4365,Bronze,738
4382,Bronze,739
4384,Bronze,740
4385,Bronze,741
4394,Bronze,742
4409,Bronze,743
4410,Bronze,744
4423,Bronze,745
4424,Bronze,746
4425,Bronze,747
4427,Silver,748
