Sport,Event,id
Swimming,Swimming Women's 10 kilometres Open Water,380
Athletics,"Athletics Women's 3,000 metres",381
Judo,Judo Women's Half-Lightweight,382
Freestyle Skiing,Freestyle Skiing Men's Ski Cross,383
Beach Volleyball,Beach Volleyball Men's Beach Volleyball,384
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",385
Fencing,"Fencing Women's epee, Individual",386
Taekwondo,Taekwondo Men's Welterweight,387
Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",388
Taekwondo,Taekwondo Men's Featherweight,389
Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,390
Weightlifting,Weightlifting Men's Flyweight,391
Athletics,Athletics Women's Javelin Throw,392
Diving,Diving Men's Synchronized Platform,393
Freestyle Skiing,Freestyle Skiing Men's Slopestyle,394
Tennis,Tennis Mixed Doubles,395
Judo,Judo Women's Lightweight,396
Athletics,"Athletics Women's 3,000 metres Steeplechase",397
Athletics,Athletics Women's 20 kilometres Walk,398
Fencing,"Fencing Women's Foil, Team",399
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",400
Swimming,Swimming Men's 10 kilometres Open Water,401
Sailing,Sailing Men's Windsurfer,402
Snowboarding,Snowboarding Men's Slopestyle,403
Sailing,Sailing Men's Skiff,404
Shooting,Shooting Women's Skeet,405
Alpine Skiing,Alpine Skiing Women's Super G,406
Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",407
Weightlifting,Weightlifting Women's Light-Heavyweight,408
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",409
Canoeing,"Canoeing Men's Canadian Singles, 500 metres",410
Swimming,Swimming Men's 200 metres Obstacle Course,411
Sailing,Sailing Mixed Windsurfer,412
Table Tennis,Table Tennis Women's Team,413
Golf,Golf Women's Individual,414
Weightlifting,Weightlifting Women's Middleweight,415
Bobsleigh,Bobsleigh Women's Two,416
Weightlifting,Weightlifting Women's Heavyweight,417
Weightlifting,Weightlifting Women's Super-Heavyweight,418
Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",419
Weightlifting,Weightlifting Men's Heavyweight,420
Canoeing,"Canoeing Men's Canadian Singles, 200 metres",421
Taekwondo,Taekwondo Women's Heavyweight,422
Cycling,Cycling Women's Team Sprint,423
Cycling,Cycling Women's Keirin,424
Weightlifting,Weightlifting Men's Heavyweight II,425
Freestyle Skiing,Freestyle Skiing Men's Aerials,426
Speed Skating,Speed Skating Women's 500 metres,427
Speed Skating,"Speed Skating Women's 1,000 metres",428
Nordic Combined,Nordic Combined Men's Individual,429
