ID,Name,Sex
15534,Ian Robert Brown,M
15540,"Joanne ""Jo"" Brown (-Alchin)",F
15553,Kiel Brown,M
15561,Majella Brown,F
15572,"Geoffrey Raymond ""Ray"" Brown",M
15574,Rebecca Kate Brown,F
15578,Rodney Brown,M
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F
15582,Sandra Elizabeth Brown (-Webb),F
15585,Simon Brown,M
15588,Steven Brown,M
15598,Trevor Michael Brown,M
15599,Victoria Brown,F
15602,Walter William Brown,M
15612,Ian Sterry Browne,M
15619,Vanessa Carol Browne (-Ward),F
15620,"Victor George ""Vic"" Browne",M
15623,"Gregory Charles ""Greg"" Browning",M
15631,Jemma Brownlow,F
15654,"Theodore William ""Bill"" Bruce",M
15660,Ian Baines Bruce,M
15664,Robert Bruce,M
15733,Clare-Louise Brumley,F
15794,Joel Brunker,M
15859,"Calvin Thomas ""C. J."" Bruton, Jr.",M
15888,"John Bryant, Jr.",M
15894,Philip Malcolm Bryant,M
15895,Robert Bryant,M
15994,Addy Elizabeth Bucek,F
16006,Caroline Buchanan,F
16009,Glenn Robert Buchanan,M
16016,Sharon Lee Buchanan-Patmore,F
16081,Margaret Elison Buck,F
16082,"Terence William ""Terry"" Buck",M
16091,"Raymond Neville ""Ray"" Buckingham",M
16092,Brodie Buckland,M
16103,Mathew Buckley,M
16104,Hannah Buckling,F
16105,Zoe Buckman,F
16194,"Valerie Ivy ""Val"" Buffham-Norris",F
16207,Paul Buganey,M
16215,Rachel Bugg,F
16309,John Michael Bukowski,M
16364,Alyssa Bull,F
16368,"Arthur William ""Ted"" Bull",M
16396,Neville Frances Bult (-Vorrath),F
16412,"Peters Valdemars ""Peter"" Bumbers",M
16424,Darren Bundock,M
16436,Olivia Bunn (-Skellern),F
16494,Colin J. Burdett,M
16517,Arthur John Burge,M
16518,Benjamin Burge,M
16521,Peter Scott Burge,M
16523,Sheridan Christina Burge-Lopez,F
16536,Nathan Burgers,M
16543,Paul Geoffrey Burgess,M
16547,Simon Peter Burgess,M
16603,"Daniel ""Dan"" Burke",M
16642,Nancy Burley (Hallam-),F
16643,Sharon Kay Burley (-Sullivan),F
16664,Verna Jaye Burnard,F
16672,Alyce Burnett,F
16676,Heidi Burnett,F
16688,Alayna Louise Burns,F
16696,Lauren Chantel Burns (-Muller),F
16702,Robert Burns,M
16704,Adrian Mark Burnside,M
16726,Donella May Burridge (-Freeman),F
16750,Olia Burtaev,F
16755,Adam Burton,M
16756,Andrew Burton,M
16759,Christopher Burton,M
16770,Natalie Burton,F
16773,Tom Burton,M
16774,William Charles Burton,M
16783,"Clifford James ""Cliff"" Burvill",M
16784,Margaret Ann Burvill (-Edwards),F
16888,"William Erskine ""Bill"" Butchart",M
16914,Dean William Butler,M
16931,Russell Charles Butler,M
16974,Matthew Butturini,M
16986,"Douglas Raymond ""Doug"" Buxton",M
17073,John Christopher Bylsma,M
17082,Clayton Byrne,M
17084,James Byrne,M
17085,Jenny Margaret Byrne,F
17088,Paul Byrne,M
17090,Peter Lawrence Byrne,M
17098,John Douglas Byrom,M
17099,Karl Byrom,M
17195,"Donald George ""Don"" Cacas",M
17226,"Robert ""Robbie"" Cadee",M
17263,Barbara Anne Cage (-McCarthy),F
17275,Darren Cahill,M
17278,"Timothy Joel ""Tim"" Cahill",M
17311,Alan John Cain,M
17313,"Deborah Margaret ""Debra"" Cain (-Kenner)",F
17314,"Elizabeth Jane Cain (-Carlow, -Lynch)",F
17316,Peter Christian Cain,M
17324,Maureen Caird (-Jones),F
17327,Christopher Cairns,M
17458,Martin Callaghan,M
17490,Kent Callister,M
17491,Nicole Callisto,F
17494,Ashley John Callus,M
17510,Dyana Jane Calub,F
17591,"Elizabeth Folake ""Liz"" Cambage",F
17621,Cynthia Cameron,F
17622,David Allen Cameron,M
17623,"Donald ""Don"" Cameron",M
17663,"Bradley Dale ""Brad"" Camp",M
17682,"Andrew ""Andy"" Campbell",M
17684,Bronte Campbell,F
17687,Cate Natalie Campbell,F
17705,Felicity Campbell,F
17709,Gillian Margaret Campbell,F
17712,Ian Bernard Campbell,M
17721,John Alexander Campbell,M
17729,Lisa Jayne Campbell,F
17731,Luke Campbell,M
17742,"Richard ""Richie"" Campbell",M
17745,"Samuel ""Sam"" Campbell",M
17758,Hannah Campbell-Pegg,F
17774,Alisa Peta Camplin (-Warner),F
17924,John Cann,M
17933,Brendon Cannon,M
17952,Shane Lewis Cansdell-Sherriff,M
17986,"Judith Lilian ""Judy"" Canty (-Wilson)",F
17987,"Judith ""Judy"" Canty (-Peckham)",F
18033,Lee Capes (-Nobbs),F
18034,Michelle Edith Capes-Hager,F
18050,Keith Alexander Caple,M
18054,Dean Capobianco,M
18142,Sally May Carbon (-Bell),F
18221,"Marcus ""Mark"" Carew",M
18226,Ashley Carey,M
18276,Forbes Carlile,M
18279,Sean William Carlin,M
18292,Max Carlos,M
18350,"James Andrew ""Jimmy"" Carlton",M
18392,Ryan Carneli,M
18399,David Raymond Carney,M
18406,Robert Carney,M
18421,Brian Barrett Carolan,M
18422,"James Arthur ""Jim"" Carolan",M
18443,Marissa Carpadios,F
18448,Ellie Madison Carpenter,F
18487,Stephen Alexander Carr,M
18490,"Edwin William J. Carr, Jr.",M
18491,"Edwin William Carr, Sr.",M
18495,Danielle Carr-McGrath,F
18497,Gavin Carragher,M
18550,Sara Maree Carrigan,F
18578,Erin Carroll,F
18579,Glenn Carroll,M
18581,Joel Carroll,M
18582,Julian Paul Carroll,M
18583,Lara Carroll (-Mist),F
18586,"Nicole ""Nickey"" Carroll",F
18593,Wayne Carroll,M
18601,"James William ""Jimmy"" Carruthers",M
18605,Stuart Cameron Carruthers,M
18636,Doris Jessie Carter,F
18646,Joanne Carter,F
18660,Stuart Carter,M
18663,Luc Cartillier,M
18666,Kevin Meredith Carton,M
18796,Brendan Casey,M
18799,"Frederick James ""Fred"" Casey",M
18809,Brett Cash,M
18827,Charlotte Caslick,F
18845,"Lucas Anthony ""Luke"" Casserly",M
18974,Naomi Sandra Castle,F
19047,Dale Caterson,M
19055,"Stephanie-Elise ""Steph"" Catley",F
19064,Rhonda Maree Cator,F
19067,Martin Peter Cattalini,M
19158,"Kenneth John ""Ken"" Caves",M
19187,"Philip Arthur ""Phil"" Cayzer",M
19294,"Blagoja ""Billy"" Celeski",M
19310,"Matthew ""Matt"" Celotti",M
19552,Lucy Chaffer,F
19553,Ross Chaffer,M
19582,Sergo Chakhoyan,M
19603,Kyle Chalmers,M
19732,Ian Chandler,M
19735,Michelle Louise Chandler (-Cleary),F
19831,Andrea Chaplin (-Barratt),F
19840,David Chapman,M
19842,Ernest William Chapman,M
19844,Gary Arthur Chapman,M
19845,Hayley Chapman,F
19846,Ian Roy Chapman,M
19847,James Jonathan Chapman,M
19851,"Susan Claire ""Sue"" Chapman (-Popa)",F
19903,Allan Charleston,M
19905,"Richard Ian ""Ric"" Charlesworth",M
19920,"Andrew Murray ""Boy"" Charlton",M
19946,Andrew Charter,M
19989,Renee Chatterton,F
19992,Matthew Chau,M
20048,Kevin Alejandro Chvez Banda,M
20076,Barry John Cheales,M
20113,"Jennifer ""Jenny"" Cheesman (-Smyth)",F
20116,"Philip ""Phil"" Cheetham",M
20285,"Hsuan-Yu ""Wendy"" Chen",F
20350,Grahame Francis Cheney,M
20509,"William Claude ""Bill"" Cherrell",M
20515,Emilee Cherry,F
20531,Sonya Chervonsky,F
20548,Murray Chessell,M
20549,"Thomas Edmund Malcolm ""Tom"" Chessell",M
20552,Gavin Michael Chester,M
20564,"David John ""Dave"" Chettle",M
20576,Vernon Cheung,M
20754,Kitty Chiller,F
20838,Anne Chirnside (-Young),F
20850,"Roderick ""Rod"" Chisholm",M
20851,Viktor Valentinovich Chistiakov,M
20866,John David Chittick,M
21133,"Nyuk Lian ""Leanne"" Choo",F
21143,Baeden Ty Choppy,M
21268,Zane Christensen,M
21314,"Maurice Froomes ""Moss"" Christie",M
21347,Lavinia Chrystal,F
21455,Douglas George Churchill,M
21496,Gino Ciampa,M
21499,"Nicolo ""Nick"" Ciancio",M
21668,"Christopher ""Chris"" Ciriello",M
21748,Taliqua Clancy,F
21783,Cameron Clark,M
21788,"Daniel ""Danny"" Clark",M
21789,Darren Edward Clark,M
21793,"Desmond ""Des"" Clark",M
21799,Frank Allan Clark,M
21800,"Geoffrey ""Geoff"" Clark",M
21804,James Clark,M
21809,John E. Clark,M
21822,Milly Clark,F
21830,Robert Thomas Stanley Clark,M
21845,Angela Clarke,F
21848,Brett Wayne Clarke,M
21854,"Georgina ""Georgie"" Clarke",F
21856,Glenn Clarke,M
21861,Hilton James Clarke,M
21862,Ian Douglas Clarke,M
21870,Kenneth Clarke,M
21879,Rodney Clarke,M
21881,"Ronald William ""Ron"" Clarke",M
21882,Simon Clarke,M
21904,"Judith Michell ""Jodie"" Clatworthy (-Housman)",F
21945,Jane-Anne Claxton,F
21958,Derek J. Clayton,M
21966,Jacob Clear,M
21970,Jennifer Cleary,F
21971,Paul Marcos Cleary,M
21974,"Nicholas ""Nick"" Cleaver",M
21978,Melinda Cleland,F
21979,"Timothy ""Tim"" Cleland",M
21986,"Elspeth Catherine Clement (Swain-, -Denning)",F
22044,Kim Andrew Clifford,M
22046,Steven Clifford,M
22076,Jade Close,F
22096,Ian Clubb,M
22118,Colin Victor Coates,M
22137,Brien William Baxter Cobcroft,M
22164,Edith Cochrane (-Pelluso),F
22173,John Cockbill,M
22183,"Patricia ""Trish"" Cockrem",F
22233,"Salvatore ""Sam"" Coffa",M
22235,Leslie Raymond Coffey,M
22257,Daryl Godfrey Cohen,M
22322,"Briony Christine ""Bree"" Cole",F
22323,Brendan Cole,M
22330,"Kenneth Frank ""Ken"" Cole",M
22365,"Phillip Walter ""Phil"" Coles",M
22416,Andrew Collett,M
22457,"Daniel James ""Danny"" Collins",M
22464,Henry Collins,M
22491,Roger Colman,M
22541,Simon Colosimo,M
22545,Alva Merlin Colquhoun,F
22555,David Edward Garrik Colvin,M
22566,Jamie Coman,M
22591,Adam David Commens,M
22593,"Christopher John ""Chris"" Commons",M
22705,David Connor,M
22708,"James ""Jimmy"" Connor",M
22722,Sam Conrad,M
22724,"Timothy ""Tim"" Conrad",M
22741,Patrick Constable,M
22853,James Cook,M
22859,Natalie Louise Cook,F
22861,"Arthur Leonard ""Rusty"" Cook",M
