id,id_modality,athlete_id,id_olympic,Age,Height,Weight
2841,1,44812,16,27.0,170.0,66.0
2842,1,44812,9,31.0,170.0,66.0
2843,1,44821,6,30.0,179.0,75.0
2844,1,44821,20,34.0,179.0,75.0
2845,385,44889,6,37.0,,
2846,25,44952,20,22.0,182.0,76.0
2847,326,44953,10,33.0,173.0,95.0
2848,326,44953,11,37.0,173.0,95.0
2849,271,44958,9,28.0,193.0,90.0
2850,309,45011,15,22.0,176.0,88.0
2851,240,45014,5,24.0,183.0,75.0
2852,61,45022,5,25.0,167.0,51.0
2853,63,45030,6,42.0,,
2854,180,45033,22,25.0,180.0,72.0
2855,196,45078,13,18.0,,
2856,352,45085,4,24.0,170.0,56.0
2857,352,45085,1,28.0,170.0,56.0
2858,42,45087,4,25.0,169.0,63.0
2859,42,45087,1,29.0,169.0,63.0
2860,386,45106,3,28.0,173.0,58.0
2861,386,45106,4,31.0,173.0,58.0
2862,166,45107,3,26.0,167.0,62.0
2863,166,45107,1,34.0,167.0,62.0
2864,115,45130,35,23.0,170.0,
2865,366,45266,1,17.0,164.0,53.0
2866,295,45266,1,17.0,164.0,53.0
2867,366,45266,2,21.0,164.0,53.0
2868,154,45273,8,26.0,,
2869,321,45273,8,26.0,,
2870,22,45281,6,,,
2871,220,45303,11,23.0,179.0,63.0
2872,7,45307,4,26.0,191.0,96.0
2873,56,45348,2,21.0,173.0,55.0
2874,56,45348,5,25.0,173.0,55.0
2875,234,45353,2,22.0,179.0,
2876,1,45362,4,23.0,176.0,75.0
2877,1,45362,1,27.0,176.0,75.0
2878,110,45364,3,24.0,172.0,74.0
2879,96,45365,15,22.0,,
2880,1,45368,16,23.0,184.0,75.0
2881,1,45368,9,27.0,184.0,75.0
2882,256,45416,22,18.0,150.0,42.0
2883,260,45459,2,20.0,184.0,75.0
2884,330,45459,2,20.0,184.0,75.0
2885,25,45541,17,24.0,191.0,94.0
2886,32,45565,9,14.0,179.0,66.0
2887,366,45565,9,14.0,179.0,66.0
2888,33,45565,9,14.0,179.0,66.0
2889,50,45568,3,23.0,158.0,56.0
2890,50,45568,4,27.0,158.0,56.0
2891,189,45582,12,24.0,169.0,56.0
2892,73,45582,12,24.0,169.0,56.0
2893,83,45595,3,27.0,182.0,80.0
2894,95,45599,1,30.0,183.0,73.0
2895,77,45601,6,25.0,,
2896,178,45607,9,22.0,185.0,71.0
2897,126,45607,9,22.0,185.0,71.0
2898,194,45610,12,41.0,173.0,63.0
2899,194,45610,3,45.0,173.0,63.0
2900,195,45610,3,45.0,173.0,63.0
